Event Name                                                       ,    Lat ,Lng     ,Depth(km), Mag
"GCMT_event_DODECANESE_ISLANDS,_GREECE_Mag_6.4_2008-7-15-3        ",35.7,27.7,42.0,6.4
GCMT_event_EASTERN_CAUCASUS_Mag_5.6_2012-10-14-10                ,41.6,46.3,12.0,5.6
GCMT_event_EASTERN_CAUCASUS_Mag_5.8_2008-10-11-9                 ,43.4,46.2,13.0,5.8
GCMT_event_EASTERN_CAUCASUS_Mag_5.9_2012-5-7-4                   ,41.5,46.7,15.0,5.9
GCMT_event_EASTERN_GULF_OF_ADEN_Mag_5.7_2007-8-2-13              ,12.6,47.5,16.0,5.7
GCMT_event_EASTERN_MEDITERRANEAN_SEA_Mag_5.7_2009-6-19-14        ,35.1,28.5,21.0,5.7
GCMT_event_EASTERN_MEDITERRANEAN_SEA_Mag_5.7_2012-7-9-13         ,35.4,29.0,71.0,5.7
GCMT_event_EASTERN_MEDITERRANEAN_SEA_Mag_5.9_2013-12-28-15       ,35.8,31.0,52.0,5.9
GCMT_event_EAST_OF_SOUTH_SANDWICH_ISLANDS_Mag_5.6_2008-7-1-1     ,-58.4,-21.6,12.0,5.6
GCMT_event_EAST_OF_SOUTH_SANDWICH_ISLANDS_Mag_5.6_2011-2-28-11   ,-59.3,-17.2,15.0,5.6
GCMT_event_EAST_OF_SOUTH_SANDWICH_ISLANDS_Mag_5.7_2010-12-7-5    ,-58.1,-7.2,15.0,5.7
GCMT_event_EAST_OF_SOUTH_SANDWICH_ISLANDS_Mag_6.0_2007-4-28-14   ,-61.0,-20.1,16.0,6.0
GCMT_event_EAST_OF_SOUTH_SANDWICH_ISLANDS_Mag_6.2_2007-3-8-11    ,-58.1,-7.9,13.0,6.2
GCMT_event_EAST_OF_SOUTH_SANDWICH_ISLANDS_Mag_6.2_2012-4-17-19   ,-59.3,-16.3,13.0,6.2
GCMT_event_EAST_OF_SOUTH_SANDWICH_ISLANDS_Mag_6.6_2013-10-24-19  ,-58.4,-13.7,22.0,6.6
GCMT_event_ETHIOPIA_Mag_5.6_2011-6-17-9                          ,13.5,41.8,12.0,5.6
GCMT_event_GREECE_Mag_5.7_2007-3-25-13                           ,38.4,20.2,12.0,5.7
"GCMT_event_HINDU_KUSH_REGION,_AFGHANISTAN_Mag_5.6_2010-4-18-20   ",35.8,67.5,17.0,5.6
"GCMT_event_HINDU_KUSH_REGION,_AFGHANISTAN_Mag_5.6_2012-12-29-17  ",35.6,70.4,119.0,5.6
"GCMT_event_HINDU_KUSH_REGION,_AFGHANISTAN_Mag_5.7_2010-2-27-23   ",35.8,70.0,115.0,5.7
"GCMT_event_HINDU_KUSH_REGION,_AFGHANISTAN_Mag_5.7_2012-6-11-5    ",36.1,69.2,24.0,5.7
"GCMT_event_HINDU_KUSH_REGION,_AFGHANISTAN_Mag_5.8_2011-3-21-9    ",36.5,70.7,194.0,5.8
"GCMT_event_HINDU_KUSH_REGION,_AFGHANISTAN_Mag_6.6_2009-1-3-20    ",36.4,70.4,205.0,6.6
GCMT_event_IONIAN_SEA_Mag_5.8_2009-11-3-5                        ,37.4,20.2,15.0,5.8
GCMT_event_IRAN-IRAQ_BORDER_REGION_Mag_5.7_2013-11-22-6          ,34.3,45.3,18.0,5.7
GCMT_event_IRAN-IRAQ_BORDER_REGION_Mag_5.8_2008-8-27-21          ,32.2,47.4,12.0,5.8
GCMT_event_LAKE_TANGANYIKA_REGION_Mag_5.8_2007-3-28-21           ,-6.4,29.7,14.0,5.8
GCMT_event_LAKE_TANGANYIKA_REGION_Mag_5.9_2008-2-3-7             ,-2.4,28.8,12.0,5.9
GCMT_event_MAURITIUS_-_REUNION_REGION_Mag_6.0_2008-8-22-7        ,-17.7,65.4,16.0,6.0
GCMT_event_MAURITIUS_-_REUNION_REGION_Mag_6.2_2009-10-12-3       ,-17.1,66.6,14.0,6.2
GCMT_event_MAURITIUS_-_REUNION_REGION_Mag_6.6_2012-7-26-5        ,-17.5,65.9,24.0,6.6
GCMT_event_MID-INDIAN_RIDGE_Mag_5.5_2008-4-12-8                  ,-15.4,67.2,12.0,5.5
GCMT_event_MID-INDIAN_RIDGE_Mag_5.7_2007-3-9-7                   ,-11.6,66.3,12.0,5.7
GCMT_event_MID-INDIAN_RIDGE_Mag_5.7_2009-5-12-12                 ,-12.5,65.2,12.0,5.7
GCMT_event_MID-INDIAN_RIDGE_Mag_5.8_2011-7-26-14                 ,-9.2,67.1,19.0,5.8
GCMT_event_MID-INDIAN_RIDGE_Mag_6.0_2009-1-13-1                  ,-13.6,66.2,12.0,6.0
GCMT_event_NORTHERN_AND_CENTRAL_IRAN_Mag_5.5_2007-6-18-14        ,34.5,50.8,18.0,5.5
GCMT_event_NORTHERN_AND_CENTRAL_IRAN_Mag_5.8_2010-8-27-19        ,35.5,54.5,14.0,5.8
GCMT_event_NORTHERN_AND_CENTRAL_IRAN_Mag_5.8_2012-12-5-17        ,33.4,59.6,15.0,5.8
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.5_2007-8-9-17       ,25.9,-45.0,12.0,5.5
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2007-2-4-3        ,35.3,-36.1,15.0,5.6
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2007-3-4-11       ,33.8,-38.5,14.0,5.6
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2008-12-7-6       ,13.4,-44.8,12.0,5.6
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2011-8-31-12      ,43.6,-28.9,12.0,5.6
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.7_2007-10-18-16     ,30.2,-42.6,12.0,5.7
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.7_2007-12-6-17      ,22.8,-45.0,12.0,5.7
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_5.8_2010-2-27-19      ,10.8,-43.4,14.0,5.8
